rubric,model,n,mae,exact,within1,kappa_quad
AS,Qwen,1357,0.676,0.509,0.886,0.297
AS,Llama,1492,0.757,0.457,0.864,0.364
AS,Mistral,1483,0.74,0.476,0.873,0.344
AT,Qwen,1518,0.478,0.547,0.976,0.664
AT,Llama,1517,0.796,0.302,0.904,0.539
AT,Mistral,1507,0.66,0.407,0.935,0.523
CEc,Qwen,1461,0.547,0.491,0.965,0.493
CEc,Llama,1462,0.759,0.347,0.899,0.388
CEc,Mistral,1430,0.621,0.436,0.955,0.589
CEe,Qwen,1512,1.159,0.303,0.725,0.041
CEe,Llama,1510,1.862,0.211,0.395,0.015
CEe,Mistral,1466,0.592,0.565,0.909,0.101
CL,Qwen,1304,0.541,0.574,0.912,0.634
CL,Llama,1306,0.75,0.442,0.844,0.623
CL,Mistral,1183,0.647,0.569,0.844,0.608
KNa,Qwen,1507,2.9,0.212,0.215,0.0
KNa,Llama,1516,2.276,0.436,0.439,0.0
KNa,Mistral,1519,1.28,0.644,0.644,0.0
KNc,Qwen,1410,0.23,0.923,0.928,-0.002
KNc,Llama,1520,0.003,0.999,0.999,0.0
KNc,Mistral,1519,0.004,0.999,0.999,-0.001
KNf,Qwen,1502,0.282,0.718,1.0,0.454
KNf,Llama,1513,0.353,0.652,0.995,0.485
KNf,Mistral,1513,0.352,0.657,0.991,0.409
KNn,Qwen,1513,1.29,0.638,0.638,0.0
KNn,Llama,1520,0.001,0.999,1.0,0.0
KNn,Mistral,1520,0.011,0.997,0.997,0.0
KNs,Qwen,1520,0.0,1.0,1.0,
KNs,Llama,1520,0.0,1.0,1.0,
KNs,Mistral,1520,0.0,1.0,1.0,
MCr,Qwen,887,0.618,0.554,0.873,0.46
MCr,Llama,953,0.922,0.349,0.807,0.431
MCt,Qwen,1495,0.464,0.555,0.981,0.378
MCt,Llama,1509,0.682,0.415,0.904,0.321
MCt,Mistral,1508,0.402,0.602,0.996,0.434
MCu,Qwen,1468,0.257,0.773,0.971,0.599
MCu,Llama,1472,0.628,0.425,0.954,0.473
MCu,Mistral,1470,0.285,0.742,0.973,0.562
MS,Qwen,1520,0.0,1.0,1.0,
MS,Llama,1520,0.0,1.0,1.0,
MS,Mistral,1518,0.0,1.0,1.0,
QLl,Qwen,1166,0.388,0.633,0.984,0.503
QLl,Llama,1198,0.907,0.296,0.829,0.29
QLl,Mistral,515,0.456,0.594,0.955,0.47
QLq,Qwen,1463,0.429,0.578,0.994,0.483
QLq,Llama,1485,0.78,0.287,0.933,0.305
QLq,Mistral,1483,0.235,0.766,0.999,0.538
SNs,Qwen,1509,0.678,0.705,0.796,0.286
SNs,Llama,1498,0.628,0.719,0.805,0.277
SNs,Mistral,1496,0.677,0.695,0.8,0.276
VO,Qwen,1494,0.316,0.687,0.997,0.544
VO,Llama,1501,0.73,0.357,0.915,0.374
VO,Mistral,1501,0.502,0.516,0.982,0.373
