rubric,model,n,pearson,spearman,mae,exact,within1,kappa_lin,kappa_quad
AS,Qwen,1357,0.367,0.374,0.676,0.509,0.886,0.224,0.297
AS,Llama,1492,0.396,0.406,0.757,0.457,0.864,0.273,0.364
AS,Mistral,1483,0.369,0.399,0.74,0.476,0.873,0.265,0.344
AT,Qwen,1518,0.665,0.62,0.478,0.547,0.976,0.489,0.664
AT,Llama,1517,0.701,0.657,0.796,0.302,0.904,0.308,0.539
AT,Mistral,1507,0.597,0.576,0.66,0.407,0.935,0.322,0.523
CEc,Qwen,1461,0.569,0.572,0.547,0.491,0.965,0.342,0.493
CEc,Llama,1462,0.58,0.579,0.759,0.347,0.899,0.23,0.388
CEc,Mistral,1430,0.614,0.618,0.621,0.436,0.955,0.395,0.589
CEe,Qwen,1512,0.073,0.068,1.159,0.303,0.725,0.025,0.041
CEe,Llama,1510,0.062,0.056,1.862,0.211,0.395,-0.001,0.015
CEe,Mistral,1466,0.136,0.141,0.592,0.565,0.909,0.052,0.101
