rubric,n,Qwen_kq,Llama_kq,Avg_kq,Min_kq,Max_kq,best_single,best_ensemble,improvement
AS,1357,0.297,0.364,0.347,0.404,0.277,0.364,0.404,0.04
AT,1518,0.664,0.539,0.641,0.672,0.529,0.664,0.672,0.007
CEc,1461,0.493,0.388,0.404,0.547,0.349,0.493,0.547,0.054
CEe,1512,0.041,0.015,0.048,0.079,0.01,0.041,0.079,0.038
CL,1304,0.634,0.623,0.692,0.681,0.562,0.634,0.692,0.058
KNa,1507,,,,,,-1.0,,
KNc,1410,-0.002,,-0.002,,-0.002,-0.002,-0.002,0.0
KNf,1502,0.454,0.485,0.426,0.539,0.411,0.485,0.539,0.054
KNn,1513,,,,,,-1.0,,
KNs,1520,,,,,,-1.0,,
MCr,887,0.46,0.431,0.47,0.523,0.346,0.46,0.523,0.063
MCt,1495,0.378,0.321,0.353,0.495,0.259,0.378,0.495,0.117
MCu,1468,0.599,0.473,0.516,0.71,0.384,0.599,0.71,0.111
MS,1520,,,,,,-1.0,,
QLl,1166,0.503,0.29,0.386,0.383,0.332,0.503,0.386,-0.117
QLq,1463,0.483,0.305,0.393,0.511,0.284,0.483,0.511,0.029
SNs,1509,0.286,0.277,0.366,0.221,0.307,0.286,0.366,0.08
VO,1494,0.544,0.374,0.43,0.547,0.359,0.544,0.547,0.003
